,train_loss,val_loss,test_loss,cosine_similarity_weights,lr,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/initialize_weights,config/lr,config/lr_patience,config/lr_factor,config/max_epochs,config/mask_fn_quantile_thresh,config/optimizer,config/sekf_q,config/sekf_p0,config/sekf_save_path,logdir
20,0.06485513597726822,0.06519029289484024,0.06482035666704178,0.8864681720733643,1.1972843843398962e-05,True,100,7d319_00020,2025-07-02_21-11-13,1751508673,0.7288379669189453,72.20519304275513,85295,jBook,127.0.0.1,72.20519304275513,100,1,random,1.1972843843398962e-05,1000,0.5,1000,0.16223854326364773,adam,0.1,100.0,,7d319_00020
21,1.9153406620025635,1.8792046308517456,1.8886412382125854,0.9999340772628784,2.251030488091052e-05,True,50,7d319_00021,2025-07-02_21-10-18,1751508618,0.021859169006347656,1.128657579421997,85414,jBook,127.0.0.1,1.128657579421997,50,256,random,2.251030488091052e-05,50,0.5,1000,0.479667457544124,adam,0.1,100.0,,7d319_00021
22,1.700691819190979,1.6875523328781128,1.6822283267974854,0.9980947971343994,0.00039497432259491457,True,50,7d319_00022,2025-07-02_21-10-22,1751508622,0.021008014678955078,1.09275221824646,85449,jBook,127.0.0.1,1.09275221824646,50,1000,random,0.00039497432259491457,50,0.5,1000,0.07577238244106754,adam,0.1,100.0,,7d319_00022
23,2.5099363327026367,2.5043606758117676,2.494537830352783,0.9999170303344727,0.00022500844502398382,True,50,7d319_00023,2025-07-02_21-10-26,1751508626,0.02162003517150879,1.095827579498291,85484,jBook,127.0.0.1,1.095827579498291,50,1000,random,0.00022500844502398382,100,0.5,1000,0.8949404867135654,adam,0.1,100.0,,7d319_00023
24,0.006504529621452093,0.007051329594105482,0.006732981186360121,0.7753695845603943,0.003923852640877189,True,100,7d319_00024,2025-07-02_21-10-31,1751508631,0.023432016372680664,2.370096445083618,85519,jBook,127.0.0.1,2.370096445083618,100,256,random,0.003923852640877189,1000,0.5,1000,0.023489773788853086,adam,0.1,100.0,,7d319_00024
25,1.9934403896331787,1.9878954887390137,1.9779133796691895,0.9999122023582458,9.329807057725105e-05,True,50,7d319_00025,2025-07-02_21-10-35,1751508635,0.021534204483032227,1.0984306335449219,85570,jBook,127.0.0.1,1.0984306335449219,50,1000,random,9.329807057725105e-05,50,0.5,1000,0.3612689894968638,adam,0.1,100.0,,7d319_00025
26,2.042402744293213,2.0314629077911377,2.0240795612335205,0.9999584555625916,1.8432117645804518e-05,True,50,7d319_00026,2025-07-02_21-10-39,1751508639,0.023913860321044922,1.2064564228057861,85605,jBook,127.0.0.1,1.2064564228057861,50,256,random,1.8432117645804518e-05,100,0.5,1000,0.474341717916432,adam,0.1,100.0,,7d319_00026
27,1.341230034828186,1.324931025505066,1.3222757577896118,0.9979352951049805,1.3647759661157851e-05,True,50,7d319_00027,2025-07-02_21-10-45,1751508645,0.06518101692199707,3.2757506370544434,85638,jBook,127.0.0.1,3.2757506370544434,50,16,random,1.3647759661157851e-05,50,0.5,1000,0.7436613261467443,adam,0.1,100.0,,7d319_00027
28,2.0486350059509277,2.0252585411071777,2.0268211364746094,0.9999841451644897,1.9330951903135905e-05,True,50,7d319_00028,2025-07-02_21-10-49,1751508649,0.022830963134765625,1.190718650817871,85691,jBook,127.0.0.1,1.190718650817871,50,256,random,1.9330951903135905e-05,50,0.5,1000,0.8221191950083312,adam,0.1,100.0,,7d319_00028
29,1.916353464126587,1.9100712537765503,1.900605320930481,0.9999998211860657,7.419617829580079e-06,True,50,7d319_00029,2025-07-02_21-10-53,1751508653,0.020869970321655273,1.0924904346466064,85724,jBook,127.0.0.1,1.0924904346466064,50,1000,random,7.419617829580079e-06,100,0.5,1000,0.7591389669628911,adam,0.1,100.0,,7d319_00029
30,0.10914063453674316,0.10938261449337006,0.10769487917423248,0.9363396763801575,0.00044298727755297127,True,100,7d319_00030,2025-07-02_21-10-59,1751508659,0.02735114097595215,2.6482298374176025,85759,jBook,127.0.0.1,2.6482298374176025,100,128,random,0.00044298727755297127,10,0.5,1000,0.568860002812007,adam,0.1,100.0,,7d319_00030
31,0.022374818101525307,0.02345922775566578,0.022464517503976822,0.8666673898696899,0.0017043954717027704,True,100,7d319_00031,2025-07-02_21-11-05,1751508665,0.032051801681518555,3.2668824195861816,85797,jBook,127.0.0.1,3.2668824195861816,100,64,random,0.0017043954717027704,1000,0.5,1000,0.8638833708390009,adam,0.1,100.0,,7d319_00031
32,1.9027433395385742,1.895275354385376,1.8857089281082153,0.9999487400054932,0.00011866771531359492,True,50,7d319_00032,2025-07-02_21-11-09,1751508669,0.021703004837036133,1.1027274131774902,85869,jBook,127.0.0.1,1.1027274131774902,50,1000,random,0.00011866771531359492,1000,0.5,1000,0.7490665503695522,adam,0.1,100.0,,7d319_00032
33,0.0014178984565660357,0.001475185388699174,0.00146581104490906,0.7326033711433411,0.0007013755404150189,True,200,7d319_00033,2025-07-02_21-11-25,1751508685,0.06494688987731934,13.37363052368164,85902,jBook,127.0.0.1,13.37363052368164,200,16,random,0.0007013755404150189,100,0.5,1000,0.2587620542957507,adam,0.1,100.0,,7d319_00033
34,0.3868985176086426,0.3790467381477356,0.37690532207489014,0.9617127776145935,0.0001336219574118928,True,100,7d319_00034,2025-07-02_21-11-19,1751508679,0.031030654907226562,3.080775022506714,85943,jBook,127.0.0.1,3.080775022506714,100,64,random,0.0001336219574118928,100,0.5,1000,0.36133427437643195,adam,0.1,100.0,,7d319_00034
35,0.7320187091827393,0.7160387635231018,0.7137306332588196,0.9875620603561401,0.00019534749356060258,True,50,7d319_00035,2025-07-02_21-11-23,1751508683,0.027336835861206055,1.346566915512085,86003,jBook,127.0.0.1,1.346566915512085,50,128,random,0.00019534749356060258,10,0.5,1000,0.07501232198143715,adam,0.1,100.0,,7d319_00035
36,1.6510683298110962,1.6422548294067383,1.6337013244628906,0.9999980926513672,2.882492588398726e-06,True,50,7d319_00036,2025-07-02_21-11-27,1751508687,0.02359294891357422,1.1941242218017578,86038,jBook,127.0.0.1,1.1941242218017578,50,256,random,2.882492588398726e-06,1000,0.5,1000,0.024334241443117577,adam,0.1,100.0,,7d319_00036
