,train_loss,val_loss,test_loss,cosine_similarity_weights,lr,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/initialize_weights,config/lr,config/lr_patience,config/lr_factor,config/max_epochs,config/mask_fn_quantile_thresh,config/optimizer,config/sekf_q,config/sekf_p0,config/sekf_save_path
0,0.03591982647776604,0.037718191742897034,0.0367666520178318,0.8682881593704224,0.003934911634688221,False,1,7d319_00009,2025-07-02_21-08-08,1751508488,0.7145359516143799,0.7145359516143799,84312,jBook,127.0.0.1,0.7145359516143799,1,1,random,0.003934911634688221,50,0.5,1000,0.4513330939866286,adam,0.1,100.0,
1,0.014481030404567719,0.015024648979306221,0.014565082266926765,0.8209865689277649,0.003934911634688221,False,2,7d319_00009,2025-07-02_21-08-09,1751508489,0.6951742172241211,1.409710168838501,84312,jBook,127.0.0.1,1.409710168838501,2,1,random,0.003934911634688221,50,0.5,1000,0.4513330939866286,adam,0.1,100.0,
2,0.0077224778942763805,0.0076226843520998955,0.007596889045089483,0.7905717492103577,0.003934911634688221,False,3,7d319_00009,2025-07-02_21-08-09,1751508489,0.6970443725585938,2.1067545413970947,84312,jBook,127.0.0.1,2.1067545413970947,3,1,random,0.003934911634688221,50,0.5,1000,0.4513330939866286,adam,0.1,100.0,
3,0.007764155510812998,0.007664870470762253,0.00766780087724328,0.7737772464752197,0.003934911634688221,False,4,7d319_00009,2025-07-02_21-08-10,1751508490,0.6899151802062988,2.7966697216033936,84312,jBook,127.0.0.1,2.7966697216033936,4,1,random,0.003934911634688221,50,0.5,1000,0.4513330939866286,adam,0.1,100.0,
4,0.010917115956544876,0.010703266598284245,0.010595078580081463,0.7602015137672424,0.003934911634688221,False,5,7d319_00009,2025-07-02_21-08-11,1751508491,0.6879279613494873,3.484597682952881,84312,jBook,127.0.0.1,3.484597682952881,5,1,random,0.003934911634688221,50,0.5,1000,0.4513330939866286,adam,0.1,100.0,
5,0.004110256209969521,0.004113644827157259,0.004121731501072645,0.7506909966468811,0.003934911634688221,False,6,7d319_00009,2025-07-02_21-08-11,1751508491,0.6918630599975586,4.1764607429504395,84312,jBook,127.0.0.1,4.1764607429504395,6,1,random,0.003934911634688221,50,0.5,1000,0.4513330939866286,adam,0.1,100.0,
6,0.008859657682478428,0.008562816306948662,0.008699383586645126,0.7417758703231812,0.003934911634688221,False,7,7d319_00009,2025-07-02_21-08-12,1751508492,0.6920590400695801,4.8685197830200195,84312,jBook,127.0.0.1,4.8685197830200195,7,1,random,0.003934911634688221,50,0.5,1000,0.4513330939866286,adam,0.1,100.0,
7,0.002845841459929943,0.002938564633950591,0.002927731955423951,0.7322978973388672,0.003934911634688221,False,8,7d319_00009,2025-07-02_21-08-13,1751508493,0.689215898513794,5.5577356815338135,84312,jBook,127.0.0.1,5.5577356815338135,8,1,random,0.003934911634688221,50,0.5,1000,0.4513330939866286,adam,0.1,100.0,
8,0.002382878679782152,0.00241386448033154,0.002422494348138571,0.7245772480964661,0.003934911634688221,False,9,7d319_00009,2025-07-02_21-08-13,1751508493,0.6897120475769043,6.247447729110718,84312,jBook,127.0.0.1,6.247447729110718,9,1,random,0.003934911634688221,50,0.5,1000,0.4513330939866286,adam,0.1,100.0,
9,0.00304329302161932,0.003023412311449647,0.003057479625567794,0.7163340449333191,0.003934911634688221,False,10,7d319_00009,2025-07-02_21-08-14,1751508494,0.6895811557769775,6.937028884887695,84312,jBook,127.0.0.1,6.937028884887695,10,1,random,0.003934911634688221,50,0.5,1000,0.4513330939866286,adam,0.1,100.0,
10,0.00568435387685895,0.005826099310070276,0.0057993377558887005,0.7088785171508789,0.003934911634688221,False,11,7d319_00009,2025-07-02_21-08-15,1751508495,0.6904921531677246,7.62752103805542,84312,jBook,127.0.0.1,7.62752103805542,11,1,random,0.003934911634688221,50,0.5,1000,0.4513330939866286,adam,0.1,100.0,
11,0.004242215771228075,0.0041845510713756084,0.004187101032584906,0.7010803818702698,0.003934911634688221,False,12,7d319_00009,2025-07-02_21-08-16,1751508496,0.6944019794464111,8.321923017501831,84312,jBook,127.0.0.1,8.321923017501831,12,1,random,0.003934911634688221,50,0.5,1000,0.4513330939866286,adam,0.1,100.0,
12,0.002467005280777812,0.002515828236937523,0.0025039268657565117,0.6953406929969788,0.003934911634688221,False,13,7d319_00009,2025-07-02_21-08-16,1751508496,0.6922059059143066,9.014128923416138,84312,jBook,127.0.0.1,9.014128923416138,13,1,random,0.003934911634688221,50,0.5,1000,0.4513330939866286,adam,0.1,100.0,
13,0.0027958068531006575,0.0027875553350895643,0.002844145055860281,0.6900824308395386,0.003934911634688221,False,14,7d319_00009,2025-07-02_21-08-17,1751508497,0.6896979808807373,9.703826904296875,84312,jBook,127.0.0.1,9.703826904296875,14,1,random,0.003934911634688221,50,0.5,1000,0.4513330939866286,adam,0.1,100.0,
14,0.0027720073703676462,0.0028148209676146507,0.0028404484037309885,0.6825795769691467,0.003934911634688221,False,15,7d319_00009,2025-07-02_21-08-18,1751508498,0.694782018661499,10.398608922958374,84312,jBook,127.0.0.1,10.398608922958374,15,1,random,0.003934911634688221,50,0.5,1000,0.4513330939866286,adam,0.1,100.0,
15,0.00441556703299284,0.004416338633745909,0.0044256956316530704,0.6781913638114929,0.003934911634688221,False,16,7d319_00009,2025-07-02_21-08-18,1751508498,0.6884081363677979,11.087017059326172,84312,jBook,127.0.0.1,11.087017059326172,16,1,random,0.003934911634688221,50,0.5,1000,0.4513330939866286,adam,0.1,100.0,
