,train_loss,val_loss,test_loss,cosine_similarity_weights,lr,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/initialize_weights,config/lr,config/lr_patience,config/lr_factor,config/max_epochs,config/mask_fn_quantile_thresh,config/optimizer,config/sekf_q,config/sekf_p0,config/sekf_save_path
0,0.1224585548043251,0.12196587771177292,0.12010861933231354,0.9138562083244324,0.0009064338695262661,False,1,efae7_00007,2025-07-02_20-21-15,1751505675,0.7872850894927979,0.7872850894927979,60716,jBook,127.0.0.1,0.7872850894927979,1,1,random,0.0009064338695262661,50,0.5,1000,0.2537469888160271,adam,0.1,100.0,
1,0.06126931309700012,0.06191122531890869,0.06104504317045212,0.8899237513542175,0.0009064338695262661,False,2,efae7_00007,2025-07-02_20-21-16,1751505676,0.7887289524078369,1.5760140419006348,60716,jBook,127.0.0.1,1.5760140419006348,2,1,random,0.0009064338695262661,50,0.5,1000,0.2537469888160271,adam,0.1,100.0,
2,0.04441672936081886,0.04606223106384277,0.04506426677107811,0.8802221417427063,0.0009064338695262661,False,3,efae7_00007,2025-07-02_20-21-17,1751505677,0.7818381786346436,2.3578522205352783,60716,jBook,127.0.0.1,2.3578522205352783,3,1,random,0.0009064338695262661,50,0.5,1000,0.2537469888160271,adam,0.1,100.0,
3,0.035151075571775436,0.0364534929394722,0.03575354442000389,0.8645178079605103,0.0009064338695262661,False,4,efae7_00007,2025-07-02_20-21-18,1751505678,0.726938009262085,3.0847902297973633,60716,jBook,127.0.0.1,3.0847902297973633,4,1,random,0.0009064338695262661,50,0.5,1000,0.2537469888160271,adam,0.1,100.0,
4,0.021869072690606117,0.023439224809408188,0.02275959402322769,0.8477584719657898,0.0009064338695262661,False,5,efae7_00007,2025-07-02_20-21-18,1751505678,0.7371330261230469,3.82192325592041,60716,jBook,127.0.0.1,3.82192325592041,5,1,random,0.0009064338695262661,50,0.5,1000,0.2537469888160271,adam,0.1,100.0,
5,0.019891219213604927,0.02085513435304165,0.02045019529759884,0.8333341479301453,0.0009064338695262661,False,6,efae7_00007,2025-07-02_20-21-19,1751505679,0.739692211151123,4.561615467071533,60716,jBook,127.0.0.1,4.561615467071533,6,1,random,0.0009064338695262661,50,0.5,1000,0.2537469888160271,adam,0.1,100.0,
6,0.00864019338041544,0.009197668172419071,0.008913050405681133,0.8213911652565002,0.0009064338695262661,False,7,efae7_00007,2025-07-02_20-21-20,1751505680,0.7396378517150879,5.301253318786621,60716,jBook,127.0.0.1,5.301253318786621,7,1,random,0.0009064338695262661,50,0.5,1000,0.2537469888160271,adam,0.1,100.0,
7,0.00558797363191843,0.005742603447288275,0.005704778246581554,0.8115141987800598,0.0009064338695262661,False,8,efae7_00007,2025-07-02_20-21-21,1751505681,0.7332890033721924,6.0345423221588135,60716,jBook,127.0.0.1,6.0345423221588135,8,1,random,0.0009064338695262661,50,0.5,1000,0.2537469888160271,adam,0.1,100.0,
8,0.005037324503064156,0.005141088273376226,0.0050674439407885075,0.804145097732544,0.0009064338695262661,False,9,efae7_00007,2025-07-02_20-21-21,1751505681,0.7399239540100098,6.774466276168823,60716,jBook,127.0.0.1,6.774466276168823,9,1,random,0.0009064338695262661,50,0.5,1000,0.2537469888160271,adam,0.1,100.0,
9,0.003978721331804991,0.004118998069316149,0.0040511139668524265,0.7987658381462097,0.0009064338695262661,False,10,efae7_00007,2025-07-02_20-21-22,1751505682,0.7258532047271729,7.500319480895996,60716,jBook,127.0.0.1,7.500319480895996,10,1,random,0.0009064338695262661,50,0.5,1000,0.2537469888160271,adam,0.1,100.0,
10,0.004001872148364782,0.0039278543554246426,0.003969683311879635,0.7948585152626038,0.0009064338695262661,False,11,efae7_00007,2025-07-02_20-21-23,1751505683,0.745703935623169,8.246023416519165,60716,jBook,127.0.0.1,8.246023416519165,11,1,random,0.0009064338695262661,50,0.5,1000,0.2537469888160271,adam,0.1,100.0,
11,0.0030300652142614126,0.0029948996379971504,0.0030433067586272955,0.7911650538444519,0.0009064338695262661,False,12,efae7_00007,2025-07-02_20-21-24,1751505684,0.7512803077697754,8.99730372428894,60716,jBook,127.0.0.1,8.99730372428894,12,1,random,0.0009064338695262661,50,0.5,1000,0.2537469888160271,adam,0.1,100.0,
12,0.0030295727774500847,0.0031241164542734623,0.0030576966237276793,0.7882053256034851,0.0009064338695262661,False,13,efae7_00007,2025-07-02_20-21-24,1751505684,0.753201961517334,9.750505685806274,60716,jBook,127.0.0.1,9.750505685806274,13,1,random,0.0009064338695262661,50,0.5,1000,0.2537469888160271,adam,0.1,100.0,
13,0.0029153460636734962,0.0029942274559289217,0.002946363529190421,0.785545289516449,0.0009064338695262661,False,14,efae7_00007,2025-07-02_20-21-25,1751505685,0.738720178604126,10.4892258644104,60716,jBook,127.0.0.1,10.4892258644104,14,1,random,0.0009064338695262661,50,0.5,1000,0.2537469888160271,adam,0.1,100.0,
14,0.002834288403391838,0.0028890343382954597,0.00285230646841228,0.7830069065093994,0.0009064338695262661,False,15,efae7_00007,2025-07-02_20-21-26,1751505686,0.724294900894165,11.213520765304565,60716,jBook,127.0.0.1,11.213520765304565,15,1,random,0.0009064338695262661,50,0.5,1000,0.2537469888160271,adam,0.1,100.0,
