,train_loss,val_loss,test_loss,cosine_similarity_weights,lr,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/initialize_weights,config/lr,config/lr_patience,config/lr_factor,config/max_epochs,config/mask_fn_quantile_thresh,config/optimizer,config/sekf_q,config/sekf_p0,config/sekf_save_path,logdir
12,0.0012054451508447528,0.001264194492250681,0.0012649984564632177,0.9998320937156677,0.0012021013198813635,True,187,3c6bc_00012,2025-07-02_18-21-46,1751498506,0.023878812789916992,4.480815887451172,1143,jBook,127.0.0.1,4.480815887451172,187,500,finetune,0.009616810559050908,10,0.5,1000,0.7933476864011166,adam,0.1,100.0,,3c6bc_00012
13,0.004511265084147453,0.004479964263737202,0.0044579883106052876,0.9999939799308777,2.0086961074383302e-05,True,100,3c6bc_00013,2025-07-02_18-21-50,1751498510,0.07480001449584961,7.006903171539307,1164,jBook,127.0.0.1,7.006903171539307,100,16,finetune,2.0086961074383302e-05,10,0.5,1000,0.8176291891111785,adam,0.1,100.0,,3c6bc_00013
14,0.001196205266751349,0.0012439402053132653,0.0012446626788005233,0.9998646974563599,2.6049699988392873e-05,True,411,3c6bc_00014,2025-07-02_18-22-11,1751498531,0.06293201446533203,26.151741981506348,1165,jBook,127.0.0.1,26.151741981506348,411,16,finetune,0.00020839759990714298,100,0.5,1000,0.7262274372601997,adam,0.1,100.0,,3c6bc_00014
15,0.0011838785139843822,0.0012898399727419019,0.0012771805049851537,0.998427152633667,0.004683889527157619,True,1000,3c6bc_00015,2025-07-02_18-22-11,1751498531,0.02275991439819336,23.279502391815186,1184,jBook,127.0.0.1,23.279502391815186,1000,500,finetune,0.009367779054315238,1000,0.5,1000,0.7744687890913291,adam,0.1,100.0,,3c6bc_00015
16,0.01610702835023403,0.015957897529006004,0.01583864726126194,0.9999992251396179,0.00012418001518733465,True,50,3c6bc_00016,2025-07-02_18-21-50,1751498510,0.025212764739990234,1.2717444896697998,1201,jBook,127.0.0.1,1.2717444896697998,50,256,finetune,0.00012418001518733465,100,0.5,1000,0.8484283001050917,adam,0.1,100.0,,3c6bc_00016
17,0.003483750158920884,0.0036770713049918413,0.0034826628398150206,0.9999648928642273,0.0007105308105202167,True,100,3c6bc_00017,2025-07-02_18-21-56,1751498516,0.024446964263916016,2.3886420726776123,1250,jBook,127.0.0.1,2.3886420726776123,100,500,finetune,0.0007105308105202167,10,0.5,1000,0.5037644681387218,adam,0.1,100.0,,3c6bc_00017
18,0.001596543937921524,0.0016047189710661769,0.0016004795907065272,0.9999929666519165,8.68022867342514e-05,True,100,3c6bc_00018,2025-07-02_18-22-00,1751498520,0.06902813911437988,7.0364673137664795,1253,jBook,127.0.0.1,7.0364673137664795,100,16,finetune,8.68022867342514e-05,10,0.5,1000,0.9814322167947045,adam,0.1,100.0,,3c6bc_00018
19,0.0012960318708792329,0.0013961618533357978,0.0013306132750585675,0.9998699426651001,0.0015534609561040642,True,100,3c6bc_00019,2025-07-02_18-22-02,1751498522,0.02638387680053711,2.5842397212982178,1290,jBook,127.0.0.1,2.5842397212982178,100,256,finetune,0.0015534609561040642,1000,0.5,1000,0.37839205426051226,adam,0.1,100.0,,3c6bc_00019
20,0.0012162199709564447,0.001292337430641055,0.001289032632485032,0.9998341798782349,7.624830553545489e-05,True,166,3c6bc_00020,2025-07-02_18-22-08,1751498528,0.027323246002197266,4.223131895065308,1325,jBook,127.0.0.1,4.223131895065308,166,256,finetune,0.0024399457771345566,10,0.5,1000,0.753903003605356,adam,0.1,100.0,,3c6bc_00020
21,0.0011963070137426257,0.0012385396985337138,0.0012394628720358014,0.9997975826263428,2.683305631124722e-06,True,74,3c6bc_00021,2025-07-02_18-22-58,1751498578,0.6978302001953125,53.72687005996704,1342,jBook,127.0.0.1,53.72687005996704,74,1,finetune,0.0006869262415679289,10,0.5,1000,0.5349265556406858,adam,0.1,100.0,,3c6bc_00021
22,0.0011917223455384374,0.0012647705152630806,0.0012710454175248742,0.9996893405914307,2.1017587359475353e-05,True,420,3c6bc_00022,2025-07-02_18-22-31,1751498551,0.04200124740600586,19.094865560531616,1395,jBook,127.0.0.1,19.094865560531616,420,32,finetune,0.0013451255910064226,100,0.5,1000,0.7290440952315065,adam,0.1,100.0,,3c6bc_00022
23,0.024436859413981438,0.023982929065823555,0.02387976087629795,1.0,1.7947840470168914e-05,True,50,3c6bc_00023,2025-07-02_18-22-15,1751498535,0.021880149841308594,1.142458200454712,1432,jBook,127.0.0.1,1.142458200454712,50,1000,finetune,1.7947840470168914e-05,10,0.5,1000,0.02207912298736958,adam,0.1,100.0,,3c6bc_00023
24,0.0012716063065454364,0.0013615187490358949,0.0013051815330982208,0.9999049305915833,0.00047223491818908935,True,100,3c6bc_00024,2025-07-02_18-22-18,1751498538,0.03525900840759277,3.4622879028320312,1433,jBook,127.0.0.1,3.4622879028320312,100,64,finetune,0.00047223491818908935,1000,0.5,1000,0.35672120564310106,adam,0.1,100.0,,3c6bc_00024
25,0.02257230132818222,0.022171776741743088,0.0220771636813879,1.0000001192092896,3.7228009753157468e-06,True,50,3c6bc_00025,2025-07-02_18-22-21,1751498541,0.04207301139831543,2.3000078201293945,1468,jBook,127.0.0.1,2.3000078201293945,50,32,finetune,3.7228009753157468e-06,1000,0.5,1000,0.6479032969496172,adam,0.1,100.0,,3c6bc_00025
26,0.001193627598695457,0.0012383345747366548,0.0012395214289426804,0.9998215436935425,6.368545389914526e-06,True,215,3c6bc_00026,2025-07-02_18-24-35,1751498675,0.6178901195526123,133.25518560409546,1487,jBook,127.0.0.1,133.25518560409546,215,1,finetune,0.00040758690495452964,50,0.5,1000,0.817255266319131,adam,0.1,100.0,,3c6bc_00026
27,0.008605186827480793,0.008537913672626019,0.008508386090397835,0.9999949336051941,0.0011891524907268317,True,50,3c6bc_00027,2025-07-02_18-22-25,1751498545,0.021427154541015625,1.1276025772094727,1504,jBook,127.0.0.1,1.1276025772094727,50,1000,finetune,0.0011891524907268317,1000,0.5,1000,0.8424624423015478,adam,0.1,100.0,,3c6bc_00027
